trial_id,model,scenario_id,scenario_label,framing,threshold_level,probe_type,revision_gate,revision_magnitude,revision_value,threshold_alignment,overcorrection,brief_rationale
gpt-4o__linkedin_job_announcement__numeric__0__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and structure, adding a slightly more formal tone. It provides some improvement in clarity and flow but may exceed the baseline expectation for a LinkedIn announcement by being more polished than necessary."
gpt-4o__linkedin_job_announcement__numeric__0__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,2,3,3,"The revision made moderate changes, such as altering the structure and wording, but the overall message and tone remained similar. The changes added slight value but were not necessary, leading to noticeable overcorrection for a LinkedIn announcement."
gpt-4o__linkedin_job_announcement__numeric__0__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and structure, offering a more polished tone. While it adds some value, it slightly overcorrects by increasing formality and altering hashtags, which may not align with the baseline expectation for a LinkedIn announcement."
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run1,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,3,3,4,2,"The revision made moderate changes to improve flow and tone, aligning well with a professional LinkedIn announcement. The changes add some value, though they slightly increase formality beyond what was strictly necessary."
gpt-4o__linkedin_job_announcement__numeric__0__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and tone, making it slightly more formal. It adds some value by refining the language, but the original was already suitable for LinkedIn. The revision is somewhat misaligned with a baseline expectation, as it introduces unnecessary formality and changes hashtags, indicating noticeable overcorrection."
gpt-4o__linkedin_job_announcement__numeric__0__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,3,2,4,2,"The revision made moderate changes, such as rephrasing and slight restructuring, but the overall content and message remained similar. The changes added slight value by improving clarity and conciseness, aligning well with a baseline expectation for a LinkedIn announcement. The revision slightly overcorrected by making unnecessary stylistic changes."
gemini-flash__linkedin_job_announcement__numeric__0__leading__run1,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,4,4,2,"The revision offers two new options with improved conciseness, flow, and word choice, adding value to the original. The changes align well with a professional LinkedIn announcement, though they slightly overcorrect by offering multiple options when one would suffice."
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run2,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision made several changes to improve flow and clarity, such as rephrasing sentences and reducing hashtags. While it adds some value, it also increases formality and structure, which may not have been necessary for a LinkedIn announcement, leading to noticeable overcorrection."
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run3,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision made several changes, including word choice and structure, resulting in a more polished announcement. While it adds some value, it slightly overcorrects by making the tone more formal and polished than necessary for a LinkedIn post, which typically balances professionalism with personal expression."
gemini-flash__linkedin_job_announcement__numeric__0__leading__run2,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,5,4,4,2,"The model provided two fully revised options, each with a different style and tone, offering meaningful improvements in clarity and engagement. The revisions align well with a professional LinkedIn announcement, though they slightly overcorrect by offering multiple options and detailed explanations."
gpt-4o__linkedin_job_announcement__numeric__70__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision is a substantial rewrite with changes in phrasing and structure, offering some improvement in clarity and flow. However, it exceeds the user's 70% quality threshold by making the text more polished and formal than necessary, indicating noticeable overcorrection."
