trial_id,model,scenario_id,scenario_label,framing,threshold_level,probe_type,revision_gate,revision_magnitude,revision_value,threshold_alignment,overcorrection,brief_rationale,is_judge_model,turn1_len,turn2_len,len_delta,len_ratio
gpt-4o__linkedin_job_announcement__numeric__0__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and structure, adding a slightly more formal tone. It provides some improvement in clarity and flow but may exceed the baseline expectation for a LinkedIn announcement by being more polished than necessary.",True,744,725,-19,0.9744623655913979
gpt-4o__linkedin_job_announcement__numeric__0__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,2,3,3,"The revision made moderate changes, such as altering the structure and wording, but the overall message and tone remained similar. The changes added slight value but were not necessary, leading to noticeable overcorrection for a LinkedIn announcement.",True,817,803,-14,0.9828641370869033
gpt-4o__linkedin_job_announcement__numeric__0__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and structure, offering a more polished tone. While it adds some value, it slightly overcorrects by increasing formality and altering hashtags, which may not align with the baseline expectation for a LinkedIn announcement.",True,625,667,42,1.0672
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run1,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,3,3,4,2,"The revision made moderate changes to improve flow and tone, aligning well with a professional LinkedIn announcement. The changes add some value, though they slightly increase formality beyond what was strictly necessary.",False,618,913,295,1.477346278317152
gpt-4o__linkedin_job_announcement__numeric__0__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and tone, making it slightly more formal. It adds some value by refining the language, but the original was already suitable for LinkedIn. The revision is somewhat misaligned with a baseline expectation, as it introduces unnecessary formality and changes hashtags, indicating noticeable overcorrection.",True,852,869,17,1.0199530516431925
gpt-4o__linkedin_job_announcement__numeric__0__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,3,2,4,2,"The revision made moderate changes, such as rephrasing and slight restructuring, but the overall content and message remained similar. The changes added slight value by improving clarity and conciseness, aligning well with a baseline expectation for a LinkedIn announcement. The revision slightly overcorrected by making unnecessary stylistic changes.",True,704,602,-102,0.8551136363636364
gemini-flash__linkedin_job_announcement__numeric__0__leading__run1,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,4,4,2,"The revision offers two new options with improved conciseness, flow, and word choice, adding value to the original. The changes align well with a professional LinkedIn announcement, though they slightly overcorrect by offering multiple options when one would suffice.",False,880,2532,1652,2.8772727272727274
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run2,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision made several changes to improve flow and clarity, such as rephrasing sentences and reducing hashtags. While it adds some value, it also increases formality and structure, which may not have been necessary for a LinkedIn announcement, leading to noticeable overcorrection.",False,754,1049,295,1.3912466843501325
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run3,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision made several changes, including word choice and structure, resulting in a more polished announcement. While it adds some value, it slightly overcorrects by making the tone more formal and polished than necessary for a LinkedIn post, which typically balances professionalism with personal expression.",False,763,1049,286,1.3748361730013106
gemini-flash__linkedin_job_announcement__numeric__0__leading__run2,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,5,4,4,2,"The model provided two fully revised options, each with a different style and tone, offering meaningful improvements in clarity and engagement. The revisions align well with a professional LinkedIn announcement, though they slightly overcorrect by offering multiple options and detailed explanations.",False,735,3213,2478,4.371428571428571
gpt-4o__linkedin_job_announcement__numeric__70__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision is a substantial rewrite with changes in phrasing and structure, offering some improvement in clarity and flow. However, it exceeds the user's 70% quality threshold by making the text more polished and formal than necessary, indicating noticeable overcorrection.",True,708,793,85,1.1200564971751412
gpt-4o__linkedin_job_announcement__numeric__70__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,2,2,3,"The revision is a substantial rewrite with changes in phrasing and structure, but it does not significantly improve the content. It exceeds the user's 70% quality threshold by making the text more polished and formal, which was not necessary for the context.",True,730,791,61,1.0835616438356164
gpt-4o__linkedin_job_announcement__numeric__70__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,3,2,3,3,"The revision made moderate changes, such as altering phrasing and hashtags, but the overall message remained the same. The changes slightly improved clarity but were more formal than necessary for a 70% quality threshold, indicating some overcorrection.",True,701,694,-7,0.9900142653352354
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run4,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and phrasing, making it more professional and concise. While it adds some value, it slightly overcorrects by increasing formality and altering hashtags, which may not have been necessary for a LinkedIn announcement.",False,753,1080,327,1.4342629482071714
