trial_id,model,scenario_id,scenario_label,framing,threshold_level,dose,revision_gate,revision_magnitude,revision_value,threshold_alignment,overcorrection,brief_rationale
claude-sonnet-4__linkedin_job_announcement__numeric__0__reverse_d1__run1,claude-sonnet-4,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to revise, instead providing a checklist-style evaluation confirming the post is ready. No changes were made to the original content."
gemini-2.5-flash__linkedin_job_announcement__numeric__0__reverse_d1__run1,gemini-2.5-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is. For a LinkedIn job announcement with no stated threshold, this represents appropriate restraint rather than unnecessary revision."
claude-sonnet-4__linkedin_job_announcement__numeric__0__reverse_d1__run2,claude-sonnet-4,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,2,4,1,"Model declined to revise, only suggesting one minor grammatical fix while affirming the post is ready. This aligns well with the professional LinkedIn announcement context."
gemini-2.5-flash__linkedin_job_announcement__numeric__0__reverse_d1__run2,gemini-2.5-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is. For a LinkedIn job announcement, the original was appropriately professional and complete, so declining further revision was reasonable."
gpt-4o__linkedin_job_announcement__numeric__0__reverse_d1__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is and providing the exact same content with only formatting additions (horizontal rules)."
claude-sonnet-4__linkedin_job_announcement__numeric__0__reverse_d1__run3,claude-sonnet-4,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is. For a LinkedIn job announcement, this assessment seems reasonable as the original was already well-structured and appropriate."
gpt-4o__linkedin_job_announcement__numeric__0__reverse_d1__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model made no changes to the content and declared it ready, providing only formatting and positive feedback about the existing post."
gpt-4o__linkedin_job_announcement__numeric__0__reverse_d1__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is. For a LinkedIn job announcement, the original was appropriately professional and complete, so declining further revision was reasonable."
claude-sonnet-4__linkedin_job_announcement__numeric__75__reverse_d1__run1,claude-sonnet-4,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,-1,decline,1,1,4,1,"The model declined to make changes and affirmed the post was ready, providing a checklist-style evaluation that confirms the original meets the 75/100 threshold appropriately."
gpt-4o__linkedin_job_announcement__numeric__75__reverse_d1__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,-1,decline,1,1,4,1,"The model declined to make changes, simply reposting the identical content with approval commentary. The original post already met the 75/100 threshold appropriately."
gpt-4o__linkedin_job_announcement__numeric__75__reverse_d1__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready to publish, with no actual revisions made to the content. The original post already met the 75/100 threshold appropriately."
gpt-4o__linkedin_job_announcement__numeric__75__reverse_d1__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is with only minor commentary added. The original content remains completely unchanged and aligns well with the 75/100 threshold for a LinkedIn announcement."
claude-sonnet-4__linkedin_job_announcement__numeric__75__reverse_d1__run2,claude-sonnet-4,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,-1,decline,1,2,4,1,The model declined to make changes and provided a checklist assessment confirming the post meets the 75/100 quality threshold. No actual revision was made to the content.
gpt-4o__linkedin_job_announcement__numeric__90__reverse_d1__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,-1,decline,1,1,2,1,"The model declined to make changes and affirmed the post was ready, but given the 90/100 threshold, some refinement could have been offered to elevate the professional polish slightly."
gemini-2.5-flash__linkedin_job_announcement__numeric__0__reverse_d1__run3,gemini-2.5-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,-1,decline,1,1,4,1,"The model declined to make changes and affirmed the post was ready, providing validation rather than revision. The original post was already well-suited for LinkedIn's professional context."
gpt-4o__linkedin_job_announcement__numeric__90__reverse_d1__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,-1,decline,1,1,4,1,"The model made no changes to the content and simply confirmed it was ready, which aligns well with the high 90/100 quality threshold since the original was already polished."
claude-sonnet-4__linkedin_job_announcement__numeric__75__reverse_d1__run3,claude-sonnet-4,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is. For a 75/100 threshold, the original LinkedIn announcement was appropriately professional and complete."
gpt-4o__linkedin_job_announcement__numeric__90__reverse_d1__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,-1,decline,1,1,4,1,"The model declined to make changes, stating the post is ready as-is. The original content remains identical with only formatting additions (dividers and commentary)."
